master_list_code	master_list_celltype	master_list_code_combined	Cell type/tissue	source	experiment	URL	comments
DS12274	CD34	CD34-DS12274	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS15947	CD4	CD4-DS15947	CD4_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD4_Primary_Cells.H3K4me3.RO_01679.Histone.DS21776_VS_UW.CD4_Primary_Cells.Input.RO_01679.Histone.DS21541.fc.signal.bigwig	
DS12336	CD34	CD34-DS12336	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17212	CD4	CD4-DS17212	CD4_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD4_Primary_Cells.H3K4me3.RO_01679.Histone.DS21776_VS_UW.CD4_Primary_Cells.Input.RO_01679.Histone.DS21541.fc.signal.bigwig	
DS12339	CD34	CD34-DS12339	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17329	CD4	CD4-DS17329	CD4_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD4_Primary_Cells.H3K4me3.RO_01679.Histone.DS21776_VS_UW.CD4_Primary_Cells.Input.RO_01679.Histone.DS21541.fc.signal.bigwig	
DS12734	CD34	CD34-DS12734	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17881	CD4	CD4-DS17881	CD4_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD4_Primary_Cells.H3K4me3.RO_01679.Histone.DS21776_VS_UW.CD4_Primary_Cells.Input.RO_01679.Histone.DS21541.fc.signal.bigwig	
DS12771	CD34	CD34-DS12771	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17189	CD56	CD56-DS17189	CD56_Primary_Cells	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD56_Primary_Cells.H3K27ac.RO_01701.Histone.DS21716_VS_UW.CD56_Primary_Cells.Input.RO_01701.Histone.DS21629.fc.signal.bigwig	
DS17189	CD56	CD56-DS17189	CD56_Primary_Cells	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD56_Primary_Cells.H3K4me1.RO_01679.Histone.DS22593_VS_UW.CD56_Primary_Cells.Input.RO_01701.Histone.DS21629.fc.signal.bigwig	
DS17189	CD56	CD56-DS17189	CD56_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD56_Primary_Cells.H3K4me3.RO_01701.Histone.DS21715_VS_UW.CD56_Primary_Cells.Input.RO_01701.Histone.DS21629.fc.signal.bigwig	
DS12774	CD34	CD34-DS12774	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17443	CD56	CD56-DS17443	CD56_Primary_Cells	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD56_Primary_Cells.H3K27ac.RO_01701.Histone.DS21716_VS_UW.CD56_Primary_Cells.Input.RO_01701.Histone.DS21629.fc.signal.bigwig	
DS17443	CD56	CD56-DS17443	CD56_Primary_Cells	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD56_Primary_Cells.H3K4me1.RO_01679.Histone.DS22593_VS_UW.CD56_Primary_Cells.Input.RO_01701.Histone.DS21629.fc.signal.bigwig	
DS17443	CD56	CD56-DS17443	CD56_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD56_Primary_Cells.H3K4me3.RO_01701.Histone.DS21715_VS_UW.CD56_Primary_Cells.Input.RO_01701.Histone.DS21629.fc.signal.bigwig	
DS12785	CD34	CD34-DS12785	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS16012	CD8	CD8-DS16012	CD8_Primary_Cells	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K27ac.RO_01679.Histone.DS21779_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS16012	CD8	CD8-DS16012	CD8_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K4me3.RO_01679.Histone.DS21778_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS13196	CD34	CD34-DS13196	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17203	CD8	CD8-DS17203	CD8_Primary_Cells	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K27ac.RO_01679.Histone.DS21779_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS17203	CD8	CD8-DS17203	CD8_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K4me3.RO_01679.Histone.DS21778_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS13199	CD34	CD34-DS13199	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17332	CD8	CD8-DS17332	CD8_Primary_Cells	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K27ac.RO_01679.Histone.DS21779_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS17332	CD8	CD8-DS17332	CD8_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K4me3.RO_01679.Histone.DS21778_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS14129	CD34	CD34-DS14129	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17885	CD8	CD8-DS17885	CD8_Primary_Cells	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K27ac.RO_01679.Histone.DS21779_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS17885	CD8	CD8-DS17885	CD8_Primary_Cells	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.CD8_Primary_Cells.H3K4me3.RO_01679.Histone.DS21778_VS_UW.CD8_Primary_Cells.Input.RO_01679.Histone.DS21542.fc.signal.bigwig	
DS14197	CD34	CD34-DS14197	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS12528	fAdrenal	fAdrenal-DS12528	Fetal_Adrenal_Gland	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS12528	fAdrenal	fAdrenal-DS12528	Fetal_Adrenal_Gland	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me1.H-24800.Histone.DS23065_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS12528	fAdrenal	fAdrenal-DS12528	Fetal_Adrenal_Gland	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS14206	CD34	CD34-DS14206	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS15123	fAdrenal	fAdrenal-DS15123	Fetal_Adrenal_Gland	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS15123	fAdrenal	fAdrenal-DS15123	Fetal_Adrenal_Gland	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me1.H-24800.Histone.DS23065_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS15123	fAdrenal	fAdrenal-DS15123	Fetal_Adrenal_Gland	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17112	CD34	CD34-DS17112	Mobilized_CD34_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17319	fAdrenal	fAdrenal-DS17319	Fetal_Adrenal_Gland	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17319	fAdrenal	fAdrenal-DS17319	Fetal_Adrenal_Gland	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me1.H-24800.Histone.DS23065_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17319	fAdrenal	fAdrenal-DS17319	Fetal_Adrenal_Gland	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17702	CD3_CordBlood	CD3_CordBlood-DS17702	CD3_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS17677	fAdrenal	fAdrenal-DS17677	Fetal_Adrenal_Gland	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17677	fAdrenal	fAdrenal-DS17677	Fetal_Adrenal_Gland	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me1.H-24800.Histone.DS23065_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17677	fAdrenal	fAdrenal-DS17677	Fetal_Adrenal_Gland	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17706	CD3_CordBlood	CD3_CordBlood-DS17706	CD3_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS19395	fAdrenal	fAdrenal-DS19395	Fetal_Adrenal_Gland	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS19395	fAdrenal	fAdrenal-DS19395	Fetal_Adrenal_Gland	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me1.H-24800.Histone.DS23065_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS19395	fAdrenal	fAdrenal-DS19395	Fetal_Adrenal_Gland	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS15947	CD4	CD4-DS15947	CD4_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS19583	fAdrenal	fAdrenal-DS19583	Fetal_Adrenal_Gland	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS19583	fAdrenal	fAdrenal-DS19583	Fetal_Adrenal_Gland	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me1.H-24800.Histone.DS23065_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS19583	fAdrenal	fAdrenal-DS19583	Fetal_Adrenal_Gland	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS16955	CD4	CD4-DS16955	Mobilized_CD4_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS20343	fAdrenal	fAdrenal-DS20343	Fetal_Adrenal_Gland	ROADMAP	H3K27ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K27ac.H-24800.Histone.DS23304_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS20343	fAdrenal	fAdrenal-DS20343	Fetal_Adrenal_Gland	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me1.H-24800.Histone.DS23065_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS20343	fAdrenal	fAdrenal-DS20343	Fetal_Adrenal_Gland	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UW.Fetal_Adrenal_Gland.H3K4me3.H-24800.Histone.DS23063_VS_UW.Fetal_Adrenal_Gland.Input.H-24800.Histone.DS23062.fc.signal.bigwig	
DS17175	CD4	CD4-DS17175	Mobilized_CD4_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS11872	fBrain	fBrain-DS11872	Fetal_Brain	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me1.UW_H22676_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig	
DS11872	fBrain	fBrain-DS11872	Fetal_Brain	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me3.UW_H-22510_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS11872	fBrain	fBrain-DS11872	Fetal_Brain	ROADMAP	H3K9ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K9ac.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS17212	CD4	CD4-DS17212	CD4_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS11877	fBrain	fBrain-DS11877	Fetal_Brain	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me1.UW_H22676_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig	
DS11877	fBrain	fBrain-DS11877	Fetal_Brain	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me3.UW_H-22510_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS11877	fBrain	fBrain-DS11877	Fetal_Brain	ROADMAP	H3K9ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K9ac.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS17329	CD4	CD4-DS17329	CD4_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS14464	fBrain	fBrain-DS14464	Fetal_Brain	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me1.UW_H22676_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig	
DS14464	fBrain	fBrain-DS14464	Fetal_Brain	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me3.UW_H-22510_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS14464	fBrain	fBrain-DS14464	Fetal_Brain	ROADMAP	H3K9ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K9ac.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS17881	CD4	CD4-DS17881	CD4_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS14717	fBrain	fBrain-DS14717	Fetal_Brain	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me1.UW_H22676_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig	
DS14717	fBrain	fBrain-DS14717	Fetal_Brain	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me3.UW_H-22510_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS14717	fBrain	fBrain-DS14717	Fetal_Brain	ROADMAP	H3K9ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K9ac.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS16376	CD56	CD56-DS16376	Mobilized_CD56_Primary_Cells	ROADMAP	ChromatinAccessibility		
DS14718	fBrain	fBrain-DS14718	Fetal_Brain	ROADMAP	H3K4me1	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me1.UW_H22676_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me1.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig	
DS14718	fBrain	fBrain-DS14718	Fetal_Brain	ROADMAP	H3K4me3	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/BI.Fetal_Brain.H3K4me3.UW_H-22510_VS_BI.Fetal_Brain.Input.UW_H22676.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC01_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC02_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC02.fc.signal.bigwig http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K4me3.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS14718	fBrain	fBrain-DS14718	Fetal_Brain	ROADMAP	H3K9ac	http://www.broadinstitute.org/~anshul/projects/roadmap/signal/36bpReadLensFiltered/foldChange/UCSF-UBC.Fetal_Brain.H3K9ac.HuFNSC-T_VS_UCSF-UBC.Fetal_Brain.Input.HuFNSC01.fc.signal.bigwig	
DS17189	CD56	CD56-DS17189	CD56_Primary_Cells	ROADMAP	ChromatinAccessibility		
